cluster,raised,goal,engagement,success,donors,shares,length,city,state,title,url,story
1,500,1600,12,31,5,31,5,SOUTHPASADENA,CA,Saving My Health Insurance,https://www.gofundme.com/saving-my-health-insurance,My friends know what's been happening with problems surrounding my insurance over the last 4 months. Yes  COBRA was finally reinstated  but I learned today that my premiums are DOUBLE what they were and if I don't pay them $1500+ by 11/2  my insurance will be cancelled. Add this to the fact that I may be facing a 2nd surgery thanks to complications from surgery in April....
15,480,1815,6,26,8,115,3,CHARLESTON,WV,Help My Disabled Mom Keep Her Health Insurance,https://www.gofundme.com/help-my-disabled-mom-keep-her-health-insurance,My mom  Deana Taylor  who is a disability retiree from the State of WV  received a letter earlier this month (see below)  indicating that her health insurance premiums were not paid in full and she owes $1 814.50 by December 25th (CHRISTMAS) or they are cancelling her insurance.When my mom was approved for her disability retirement  she was told that there would be a lapse in coverage from the end of her employment with the State  until she started receiving her retirement benefit (roughly 3 months).  So when her first 3 benefit payments did not withhold her insurance premium  she did not think anything of it.  It has been over 6 months now since she has been receiving retiree benefits and they have been withholding her premium since  but she just received the cancellation notice this month.Since she is on disability retirement  she does not make enough to be able to make this payment. Between her and my father  who is also disabled and on social security  they only bring home around $1 700 a month and still have rent  utilities  a car payments  prescription costs  food  etc.  It is literally impossible for them to make this payment.My mom has been communicating with PEIA and they refuse to set up a payment plan.  The best they state that they can do is to give her 3 months to pay $604.83; however  this is still out of the realm of possibility seeing as though they are already getting by on the skin of their teeth.I am going to help them the best I can  but I am hoping for a Christmas miracle here and enough people can help my mom keep her insurance.Any little bit helps.Thank you  Kris
4,460,500,11,92,25,182,4,ATLANTA,GA,Help Mystery Meat get health insurance,https://www.gofundme.com/help-mystery-meat-get-health-insurance,Mystery Meat is a corner stone to the east Atlanta drag community. As a trans man health insurance is a useful tool he could use. So as a friend I wanted to help him raise the money to get at least a few months of health insurance together so he can start HTR.
12,450,80000,21,1,4,11,3,SANDY,UT,Cancer treatment / health insurance for Kris Cates,https://www.gofundme.com/cancer-treatment-health-insurance,Due to some unexpected expenses My Mother is about to lose her health insurance and her house she has been fighting cancer for the past year and as bills pile up shes having problems being able to pay for her cancer treatment witch has been working to beat it and if she cant aford the treatment shes the type to put everything eles frist before she takes care of what she needs even if it means her life. She doesnt know we are setting this up and we would like to surprise her and her husband and show them how much they are loved and appreciated. Thank you for any contribution you can make.
2,250,9000,5,3,4,71,1,LAKECITY,FL,Health Insurance Assistance,https://www.gofundme.com/ryxph-health-insurance-assistance,Thank you for taking the time to read our story. I recently found out I was dropped from my mother's insurance policy with Blue Cross Blue Shield. As life goes  I'm now experiencing a medical emergency after relocating to Florida. I have applied for Medicaid and any other emergency aid I could apply for through the state. The timeframe for approval is not looking good and without financial assistance I am looking at a procedure that could exceed $9 000 . I am 1 200 miles from home and the help I have received from family and friends is much appreciated but I am still far from covering the costs. I would also have to include travel expenses and have started saving and raising funds in any way I can. This is all very sudden and frightening for me. I have never reached out for assistance before but with such a pressing situation I feel as though I have no other choice. Any form of support is appreciated .
3,250,250,6,100,8,115,2,STONEVILLE,NC,Multiple Seizures / No Health Insurance / Not able,https://www.gofundme.com/multiple-seizures-no-health-insurance-not-able,.  On January 5  2019 I had made a trip to a local Wal-Mart here in Eden  NC.  I proceeded to enter the store and go to the Pharmacy Department of the store to pick up a prescription.  I have had some minor seizures in the past.  I am usually able to spot the warning signs  but I have not been on medication since returning to NC from FL at the end of July.  I tried to get medication for this problem but was unsuccessful.  The doctor I was seeing at the time refused them and told me to just simply go to the hospital if I had a seizure.I am still having difficulty remembering the purchase at the pharmacy  but I know I did because the medication I was picking up for a family member was in the vehicle.  Evidently  I had some type of a minor seizure.  I also picked up three 12 packs of soda  which I did pay for because they were also in the vehicle when it was picked up. I had these receipts in my pocket and was so out of it I required assistance from the pharmacy clerk to even do a minor task  use a debit card.  I sat in the vehicle for a short spell and proceeded to return into the store to get the remainder of a grocery list I had for my mother.  I am not sure if I was headed back into the store or coming out  but I was detained  but not arrested or charged with a crime  by a local Eden City Police officer.  I do not know the officers name or badge number.  I am in fear of more repercussions if I attempt to go to the Eden City Police and get the report.  Every time I see a police vehicle  I have some kind of panic attack or something.  I have fear of reprisal because I have decided to raise my voice against these types of actions.   From my understanding of the situation they believed I was under the influence of something.  I was violently restrained and placed into the back of a police vehicle  and all of this was happening while I was having a serious medical attack.  To the best of my recollection  the police officer got the head of Wal-Mart security to come out and tell me that I was banned from the establishment and if I returned  I would be arrested for criminal trespassing.  Keep in mind that my head was banged all around while I am under medical duress.  It seemed like quite a while before the officer actually returned to the vehicle.  I remember specifically trying to explain to them that I was not under the influence and that something was seriously wrong.  I also vividly remember leaving in the police vehicle and being thrown all over the backseat and hitting my head more than a few times and the officer laughing about this.  I was never charged with a crime nor arrested for anything.  That is the last clear memory I have until a couple of days later.  I ended up at UNC Rockingham Health Care hospital.  They say that I went into a deep coma and ended up being placed on some kind of life support once they got in touch with my mother.  The doctor there was in direct communication with a neurologist at Wake Forest Baptist Medical Center.  They did all types of screening and figured out that I was not under the influence of anything.  All of my drug and alcohol tests came back negative.  UNC Rockingham had previously seen me for having one of these types of seizures a couple of weeks before this.  I do not remember any of this.  My mother came into the emergency room and talked with the doctor but they could not figure anything out.  My mother got what possessions I had on me  which two things were missing.  I was air-lifted to Wake Forest Baptist Medical Center by helicopter.  I spent three days in the ICU center there after got me semi-awake.  I was kept in a locked down ward because I had a lot of serious confusion.  I did not even know simple things such as the year or the president.  I also did not know certain family members.  I was eventually relocated into a regular patient room.  It is not until this point that I have any resemblance of a memory.  Once I was stabilized and had enough seizure medication in my system  I was released from Wake Forest January 8  2019.  My head or my brain  still is nowhere close to being normal.   I do not have any kind of health insurance  and now I have astronomical hospital bills that haven’t even started coming in yet.  I have no idea how I can possibly pay these bills that could have been avoided.  On January 10  2019 I was at home and sometime around 4 PM I had some type of seizure.  My mother came into my bedroom and found me trying to get up out of the floor.  I was not able to respond to basic conversation.  I do not remember anything about that day until around 11:30 PM or so.  I woke up and was in my bed and I knew something was not quite right with me.  I went to wake my mother up to take me to UNC Rockingham hospital.  As I was waking her up  I went into some type of grand mal seizure.  To the best of my knowledge I have never had one of this type before.  There is no explanation for the increase in frequency or severity of my seizures.  I have gone for years without having one to having multiple in a day and more severe.  They have given me a higher dose of medication and so far  there have not any other seizures   I still am nowhere close to the person I was before. This entire situation could have been avoided if the officer would have just looked at the paper I have in my wallet.  It is wrapped around my ID and in huge highlighted letters it states that I have a seizure disorder as well as the list of medications I take  none of which are narcotic nor impairing.  Now I have applied for every kind of aid possible  but none will be completed in time for me to see the neurologist on February 12  2019.   They are expecting a payment of $210 before they will even see me.  I defimiately need this appointment because of the increse in frequency and fogginess in my brain.  I am also going to have to get medications which I have no idea of the cost of.  Without health insurance its hard.
7,245,10000,11,2,9,63,3,WICHITA,KS,Lailani&apos;s New Pump/Health Insurance Assistance,https://www.gofundme.com/lailani039s-life,First  let me Thank You for your time and consideration. This is my Daughter Lailani Hickerson. For the past 34 years  my wonderful daughter has been fighting a serious health condition. It comes with a heavy heart to say my daughter Lailani was born with a condition known as Cerebral Palsy due to a complication during her birth. She was later diagnosed with Epilepsy at a young age.Epilepsy is a medical condition that produces seizures affecting a variety of mental and physical functions. It’s also called a seizure disorder. When a person has two or more unprovoked seizures  they are considered to have epilepsy. A seizure happens when a brief  strong surge of electrical activity affects part or all of the brain. Cerebral palsy is the most common motor and movement disability. It is a neurological disorder that affects a child's motor skills  movements  and muscle tone. Cerebral palsy is caused by brain damage that develops while the baby is still in utero  during labor and delivery  or shortly after birth.As a parent of a child with Cerebral Palsy  the feeling of uncertainty has no bound  but it is even more amplified when seizures are added to the mix. Lailani's seizures vary in duration  intensity  frequency  physical presentation  and controllability. For Lailani  dealing with her seizures can feel like a roller coaster. Luckily  recent advances in seizure prevention and treatment have made seizures less scary than they used to be. Years ago Lailani had undergone a procedure to surgically implant a device known as a Baclofen Pump into her abdomen to help manage her violent muscle spasms associate to her Cerebral Palsy. The baclofen pump system consists of a pump and a catheter that brings the medication from the pump into the spinal fluid. The pump is a round metallic disc (about 1 inch thick and 3 inches in diameter)  which is surgically implanted under the skin of the abdomen. The pump contains a battery  which usually lasts between five to seven years  a reservoir for the medication  and a microprocessor.Unfortunately  the device is beginning to fail sooner than expected  and as a result  her muscle spasms are becoming more frequent and violent. The stress her body goes through during these spasms at times causes her to experience unpredictable seizures. This device needs to be replaced as soon as possible to prevent further harm. We hope to have her surgery this summer  but it may have to be sooner than that. This device has genuinely been a benefit to her life and has allowed her to have a more independent lifestyle. I am 54 years old working three jobs to save enough money to pay for the portion of the procedure my health insurance will not cover. I come to you all with a heavy heart and only ask of you to give what you can and help Lailani. We thank you all for your time and support.Bless you All
2,225,1380,17,16,9,36,4,SPOKANE,WA,Help Michelle Trujillo With Health Insurance,https://www.gofundme.com/help-michelle-trujillo-with-health-insurance,Michelle has multiple sclerosis.  Her medical insurance will soon be increased from $385 to $500 per month.  Our goal is raising $1 380 to cover the extra $115 per month for the year of 2019.  Thank you so much for helping.
15,220,10000,4,2,5,110,3,HAMBURG,PA,Jeff has clot on lung/ sadly no health insurance,https://www.gofundme.com/jeff-has-clot-on-lung-sadly-no-health-insurance,Jeff Groff is a 56 yr old hard working man  practically a stepfather to me.  Jeff works hard everyday to make sure other people have their needs met before he ever worries about himself.  Six months ago  Jeff lost his job of nearly 40 yrs because the company eliminated his position... while this may not seem like a huge deal  it is as Jeff lost his healthcare.  Along with the loss of his healthcare was the medical treatments/ injections that Jeff had been receiving for his rheumatoid arthritis.  Not only does he suffer from this very painful disorder  he also fell and cracked his femur  and has a torn meniscus in need of repair.  Jeff would never complain but just worked through the pain everyday; on Dec. 24  2018  Jeff was rushed to the hospital by an ambulance with shortness of breath  chest pain so crippling he couldn’t even talk only to find out that he would be spending at least a week if not more in the hospital because doctors found a blood clot on his lung.  Jeff is not involved in this campaign other than hopefully being the recipient of generosity but he needs any help he can get.  Due to his struggle to find steady work with benefits  his current hospital stay is being paid for out of pocket which is a very overwhelming mountain to even attempt to climb.  I am asking you to please donate anything you have to help a man who gives so much and expects nothing in return.  Jeff is a loving boyfriend  father  step father  and pappy to his grandkids and is in need of a helping hand.thank you for your time!
5,215,2500,22,9,5,13,13,FORTCOLLINS,CO,Staying Afloat- Health Insurance &amp; Kitty Aftercare,https://www.gofundme.com/DaveAndStrahd,April is our least favorite month of the year. Spring has sprung difficulties on us once more  this year in the shape of financial issues and the passing of our fluffy monster  Strahd. (He's with Dave in the picture.) Lots of work is being done  but there's a lack of payments coming in for said work. This has resulted in a struggle to pay for basic things  from utilities bills and groceries  to major things like health insurance. (Which  as many of you know  is hard to get and super expensive when you're a contractor without an employer helping out with that.) And adding to all of this is the unexpected and sad expense to provide aftercare due to Strahd's passing. We're grateful for any help we receive  even if it's just a kind word or a hug. We know brighter days are coming soon  we just need a little help to make it until then.
15,155,3600,10,4,6,49,4,ELGIN,SC,Health Insurance for 2019,https://www.gofundme.com/health-insurance-for-2019,My story is somewhat of a long one so here it goes.I am chronically ill. I was diagnosed with Depression at 14  Generalized Anxiety Disorder at 16  Panic Disorder at 17  PTSD at 18  and Bipolar I Disorder at 21. In order to treat these disorders I need to take medication  go to monthly doctor visits  psychotherapy  and occasional hospitalization. Because all of these treatments require money  I have to have a good health insurance plan in order to afford them all. In the past I have been able to have great coverage for as little as $23 a month thanks to a $300 subsidy given to me by the ACA. On May 29th of 2018 I married a wonderful  former Marine. This means in 2019 I am going to lose most of my subsidy. This is because Jacob is offered insurance through his job. Because Jacob is a veteran  he can receive health care through the VA and does not need regular insurance coverage. However  his job requires that we both be on the plan if we get insurance through them. The premium through them is $455 and does not cover my expenses nearly as well as we need it to. I do not get any benefits from the US Military as we married after he was honorably discharged.So I opted to go through Marketplace (ACA) to see what plan I could do in order to be able to afford my medications. I currently take eight medications - seven of which have generic forms and are only Tier 1 level medicines. They cost the least and are covered by even the most basic plans. The eighth medication is on Tier 2 and is called Latuda. It is an anti-psychotic that does not have a generic form. I have been taking this medication since 2014 and it has helped me greatly with my Bipolar Disorder. It doesn't cause me to gain weight and is even safe to take while pregnant if I were to become so. Latuda is roughly $1600 for a 30 day supply. With my current plan I pay $11. The lower level insurance plans do NOT cover this medication and I would have to pay the full amount in order to get it. In order to continue to take this extremely effective medication  I need at least a Silver level plan which are more expensive. I chose the cheapest of the Silver level plans in order to get the coverage I need. I do qualify for a $117 dollar subsidy  however I would still need to pay $343 out of pocket each month to cover my premium. This does not include costs of treatments each month. Because of my disability  I can only work part-time. I do not qualify for health insurance through my job. This is my only option if I want to be covered next year. I have tried other medications but none have been as effective at Latuda. In order to maintain my mental health  I need to continue to take this medication. I set the goal for $3 600 to cover $300 a month for next year. Any additional raised will go towards medical bills (copays  medication costs  etc). Thank you so much for reading and if you have any questions  feel free to email me at cthomas1216@hotmail.com or message me on Facebook (if we're friends). Below is a special offer I'm doing for my resin work in exchange for donations. +++++++++++I am a resin artist and I'm offering a very special deal to those that donate: a free  custom resin piece for any donation of at least $25. Shipping will be FREE within the US at 50% off international (unless your donation is over $50  then shipping is free international as well). I have a wide variety of molds  sprinkles  and stickers to make resin pieces with. I can make just about any kind of jewelry  key chains  magnets  ornaments  and more. (Earrings count as one resin piece) There are three simple rules: 1) I must already have the mold you'd like me to use or must be able to affordably find a mold for your piece. 2) I must already have the stickers/inserts you'd like me to use or must be able to affordably find them for your piece. 3)  All custom orders will go through Etsy for my records  however I will give you a coupon code so that you do not pay anything. Processing time is 6-8 weeks since I work five days a week. If I receive a flood of requests (which I do not expect) then processing times by be longer. They may also be shorter! You can find examples of me work on my Etsy Shop Or on my shop's Instagram Page How to redeem: After you donate  send me an email to cthomas1216@hotmail.com with your name  donation amount  and a brief description of what you'd like. We'll work out all the details before I make your piece. If we are friends on Facebook  you make also send me a direct message on there as well.If you do not email or message me then I will assume that you do not want a resin piece in return for your donation.
15,150,132,3,114,1,32,3,TAMPA,FL,Health Insurance,https://www.gofundme.com/r4mpw-health-insurance,I lost my job in November due to an accident that I had only a week before completing my probationary period.  Thank God there were no injuries nor traffic violations involved.  I have been looking for work since then. I had to register for insurance and fortunately it is only $132 for my premium for the entire year. Cany you and family or friends help me to raise this money so I can pay the premium before the Dec. 31st deadline?
10,120,25000,13,0,2,12,4,HAHNVILLE,LA,Health Insurance For Angel,https://www.gofundme.com/health-insurance-for-angel,"Meet Angel  a 32-year-old legal professional with a beautiful smile and an awesome personality.  Angel graduated from Loyola University Law School and is currently studying for the bar exam.  She loves her dog (Jupiter) make-up and shoes.  She is a huge history buff and is a loyal New Orleans Saints fan.  All of these things make Angel your average hometown girl. But Angel's life is anything but ordinary.  Three years ago  Angel was diagnosed with Hereditary-Spastic-Paraplegia. Hereditary spastic paraplegia (HSP)  also called familial spastic paraparesis (FSP)  refers to a group of inherited disorders that are characterized by progressive weakness and spasticity (stiffness) of the legs. Angel's symptoms started to present in her early 20s.Early in the disease course  there may be mild gait difficulties and stiffness. These symptoms typically slowly progress so that eventually individuals with HSP may require the assistance of a cane  walker  or wheelchair. Angel now has as her constant companion  her pink wheelchair  Penelope.Though the primary features of HSP are progressive lower limb spasticity and weakness  complicated forms may be accompanied by other symptoms. Angel is also plagued by ataxia (lack of muscle coordination) and epilepsy. She is in near constant pain and recently underwent surgery to have a pump implanted to distribute medication to help control her muscle spasms. There are no specific treatments to prevent  slow or reverse HSP.Even while dealing with these issues  Angel maintains the attitude that she is not \disabled\"".  She has continued to work in order to pay for medical insurance and additional expenses not covered by insurance.  Her resilience is inspiring.Recently  Angel was dealt a set-back when she was laid-off from her job.  She had hoped the lay-off would be temporary  but unfortunately that may not be the case.This GoFundMe account is being set-up to help Angel cover the cost of her medical insurance and to help raise funds for a new wheelchair (which she will require soon).Thank you for taking the time to read this.  And thank you in advance for donating to this worthwhile cause.  If you would like to learn more about HSP or donate to HSP research  please visit  www.ninds.nih.gov/Disorders/All-Disorder/Hereditary-Spastic-Paraplegia-Information-Page."""
