All Transactions Announced Date,Target/Issuer,Exchange:Ticker,Transaction Types,Transaction Status,"Total Transaction Value ($USDmm, Historical rate)",Buyers/Investors,Sellers,CIQ Transaction ID
04/24/2019,A.H. Belo Corporation (NYSE:AHC),NYSE:AHC,Investor Activism,Announced,-,Minerva Advisors LLC,-,IQTR611507426
04/23/2019,Power REIT (AMEX:PW),AMEX:PW,Investor Activism,Announced,-,"Cascadilla Capital Partners, LLC",-,IQTR611382825
04/23/2019,Synalloy Corporation (NasdaqGM:SYNL),NasdaqGM:SYNL,Investor Activism,Announced,-,"Privet Fund Management, LLC",-,IQTR611390969
04/23/2019,"ServiceSource International, Inc. (NasdaqGS:SREV)",NasdaqGS:SREV,Investor Activism,Announced,-,"Edenbrook Capital Partners, LLC",-,IQTR611391785
04/23/2019,Cadiz Inc. (NasdaqGM:CDZI),NasdaqGM:CDZI,Investor Activism,Announced,-,-,-,IQTR611393201
04/23/2019,"MVC Capital, Inc. (NYSE:MVC)",NYSE:MVC,Investor Activism,Announced,-,"West Family Investments, Inc.",-,IQTR611394605
04/23/2019,Extendicare Inc. (TSX:EXE),TSX:EXE,Investor Activism,Settled,-,Sandpiper Group Holdings Inc.,-,IQTR611491625
04/22/2019,"NACCO Industries, Inc. (NYSE:NC)",NYSE:NC,Investor Activism,Announced,-,California Public Employees' Retirement System,-,IQTR611317784
04/22/2019,HIVE Blockchain Technologies Ltd. (TSXV:HIVE),TSXV:HIVE,Investor Activism,Announced,-,Genesis Mining Ltd.,-,IQTR611321646
04/19/2019,"Heian Ceremony Service Co., Ltd. (JASDAQ:2344)",JASDAQ:2344,Investor Activism,Announced,-,Dalton Investments LLC,-,IQTR611630357
04/18/2019,Western Asset Global High Income Fund Inc. (NYSE:EHI),NYSE:EHI,Investor Activism,Announced,-,"Saba Capital Management, L.P.",-,IQTR611073820
04/18/2019,Western Asset High Income Fund II Inc. (NYSE:HIX),NYSE:HIX,Investor Activism,Announced,-,"Saba Capital Management, L.P.",-,IQTR611073821
04/16/2019,"Lumber Liquidators Holdings, Inc. (NYSE:LL)",NYSE:LL,Investor Activism,Announced,-,-,-,IQTR610759905
04/16/2019,Hoosiers Holdings (TSE:3284),TSE:3284,Investor Activism,Announced,-,Office Support Co. Ltd.,-,IQTR611628903
04/15/2019,Grigeo AB (NSEL:GRG1L),NSEL:GRG1L,Investor Activism,Announced,-,-,-,IQTR610510328
04/15/2019,"Wheeler Real Estate Investment Trust, Inc. (NasdaqCM:WHLR)",NasdaqCM:WHLR,Investor Activism,Announced,-,Stilwell Value LLC,-,IQTR610771012
04/11/2019,Henry Morgan Limited,-,Investor Activism,Announced,-,Kearney Holdings QLD Pty Ltd,-,IQTR609923003
04/11/2019,"Weis Markets, Inc. (NYSE:WMK)",NYSE:WMK,Investor Activism,Announced,-,California Public Employees' Retirement System,-,IQTR610035168
04/11/2019,"MiMedx Group, Inc. (OTCPK:MDXG)",OTCPK:MDXG,Investor Activism,Announced,-,-,-,IQTR610112013
04/11/2019,Deutsche Bank Aktiengesellschaft (DB:DBK),DB:DBK,Investor Activism,Announced,-,Riebeck-Brauerei von 1862 AG,-,IQTR610584063
04/10/2019,U-Shin Ltd. (TSE:6985),TSE:6985,Investor Activism,Successful,-,MinebeaMitsumi Inc. (TSE:6479),-,IQTR611625544
04/09/2019,Verint Systems Inc. (NasdaqGS:VRNT),NasdaqGS:VRNT,Investor Activism,Announced,-,Neuberger Berman BD LLC,-,IQTR609745558
04/09/2019,Aurinia Pharmaceuticals Inc. (TSX:AUP),TSX:AUP,Investor Activism,Announced,-,"ILJIN SNT Co., Ltd",-,IQTR609764195
04/09/2019,EchoStar Corporation (NasdaqGS:SATS),NasdaqGS:SATS,Investor Activism,Announced,-,California Public Employees' Retirement System,-,IQTR609772613
04/08/2019,Pfizer Inc. (NYSE:PFE),NYSE:PFE,Investor Activism,Announced,-,The Sisters Of Saint Francis Of Philadelphia,-,IQTR609624518
04/08/2019,"Enzo Biochem, Inc. (NYSE:ENZ)",NYSE:ENZ,Investor Activism,Announced,-,Harbert Management Corporation,-,IQTR609658533
04/08/2019,Cerner Corporation (NasdaqGS:CERN),NasdaqGS:CERN,Investor Activism,Settled,-,Starboard Value LP,-,IQTR609735372
04/08/2019,Barclays PLC (LSE:BARC),LSE:BARC,Investor Activism,Unsuccessful,-,Sherborne Investors Management LP,-,IQTR609760140
04/08/2019,Sony Corporation (TSE:6758),TSE:6758,Investor Activism,Announced,-,Third Point LLC,-,IQTR609762806
04/08/2019,Debenhams plc,-,Investor Activism,Announced,-,Sports Direct International plc (LSE:SPD),-,IQTR609773147
04/08/2019,"Hamakyorex Co., Ltd. (TSE:9037)",TSE:9037,Investor Activism,Announced,-,"Sumitomo Mitsui DS Asset Management Company, Limited",-,IQTR611621547
04/05/2019,"Progenics Pharmaceuticals, Inc. (NasdaqGS:PGNX)",NasdaqGS:PGNX,Investor Activism,Announced,-,"Altiva Management Inc.; Velan Capital, L.P.",-,IQTR608961536
04/05/2019,"Central Glass Co., Ltd. (TSE:4044)",TSE:4044,Investor Activism,Announced,-,-,-,IQTR611613590
04/05/2019,"Central Glass Co., Ltd. (TSE:4044)",TSE:4044,Investor Activism,Announced,-,"Minami Aoyama Real Estate Co., Ltd.",-,IQTR612377720
04/05/2019,CVS Health Corporation (NYSE:CVS),NYSE:CVS,Investor Activism,Announced,-,City of Philadelphia Public Employees Retirement System,-,IQTR612659048
04/04/2019,LIXIL Group Corporation (TSE:5938),TSE:5938,Investor Activism,Announced,-,Platinum Investment Management Limited (ASX:PTM),-,IQTR608762229
04/04/2019,Aimia Inc. (TSX:AIM),TSX:AIM,Investor Activism,Announced,-,"Breach Inlet Capital Management, LLC",-,IQTR608871613
04/04/2019,"Alleanza Holdings Co.,Ltd. (TSE:3546)",TSE:3546,Investor Activism,Announced,-,"Valor Holdings Co., Ltd. (TSE:9956)",-,IQTR611611342
04/04/2019,Yorozu Corporation (TSE:7294),TSE:7294,Investor Activism,Announced,-,"Reno Co., Ltd.",-,IQTR611612717
04/03/2019,United Technologies Corporation (NYSE:UTX),NYSE:UTX,Investor Activism,Announced,-,-,-,IQTR608710095
04/03/2019,"Kawasaki Kisen Kaisha, Ltd. (TSE:9107)",TSE:9107,Investor Activism,Announced,-,Effissimo Capital Management Pte Ltd.,-,IQTR611605137
04/03/2019,"Maezawa Industries, Inc. (TSE:6489)",TSE:6489,Investor Activism,Announced,-,"Brandes Investment Partners, L.P.",-,IQTR611607997
04/03/2019,"Nishishiba Electric Co., Ltd. (TSE:6591)",TSE:6591,Investor Activism,Announced,-,Toshiba Insurance Service Corporation,-,IQTR612382036
04/02/2019,Tyranna Resources Limited (ASX:TYX),ASX:TYX,Investor Activism,Announced,-,Central West Resources Pty Ltd,-,IQTR608402871
04/02/2019,Front Yard Residential Corporation (NYSE:RESI),NYSE:RESI,Investor Activism,Announced,-,"Snow Park Capital Partners, LP",-,IQTR608482553
04/02/2019,Novelion Therapeutics Inc. (NasdaqGS:NVLN),NasdaqGS:NVLN,Investor Activism,Announced,-,"Whitefort Capital Management, LP",-,IQTR608572407
04/02/2019,"MiMedx Group, Inc. (OTCPK:MDXG)",OTCPK:MDXG,Investor Activism,Announced,-,Prescience Investment Group LLC,-,IQTR608574328
04/02/2019,"ServiceSource International, Inc. (NasdaqGS:SREV)",NasdaqGS:SREV,Investor Activism,Announced,-,Cannell Capital LLC,-,IQTR608574432
04/02/2019,"Maxell Holdings, Ltd. (TSE:6810)",TSE:6810,Investor Activism,Announced,-,"Minami Aoyama Real Estate Co., Ltd.",-,IQTR611385199
04/02/2019,"Maxell Holdings, Ltd. (TSE:6810)",TSE:6810,Investor Activism,Announced,-,-,-,IQTR612380878
04/01/2019,Argo Blockchain PLC (LSE:ARB),LSE:ARB,Investor Activism,Announced,-,Lynchwood Nominees Ltd,-,IQTR608308807
04/01/2019,AbbVie Inc. (NYSE:ABBV),NYSE:ABBV,Investor Activism,Announced,-,-,-,IQTR608366019
04/01/2019,"Galectin Therapeutics, Inc. (NasdaqCM:GALT)",NasdaqCM:GALT,Investor Activism,Announced,-,"10x Capital Management, LLC",-,IQTR608384367
04/01/2019,"BlackRock Muni New York Intermediate Duration Fund, Inc. (NYSE:MNE)",NYSE:MNE,Investor Activism,Announced,-,"Saba Capital Management, L.P.",-,IQTR608385814
04/01/2019,BlackRock New York Municipal Bond Trust (NYSE:BQH),NYSE:BQH,Investor Activism,Announced,-,"Saba Capital Management, L.P.",-,IQTR608386513
04/01/2019,"21LADY Co., Ltd. (NSE:3346)",NSE:3346,Investor Activism,Announced,-,-,-,IQTR611378657
04/01/2019,"Toyo Knife Co., Ltd. (TSE:5964)",TSE:5964,Investor Activism,Announced,-,REVIC Partners,-,IQTR611381053
03/29/2019,"Aevi Genomic Medicine, Inc. (NasdaqGM:GNMX)",NasdaqGM:GNMX,Investor Activism,Announced,-,"The Children's Hospital Of Philadelphia Foundation, Endowment Arm",-,IQTR608295227
03/29/2019,AbbVie Inc. (NYSE:ABBV),NYSE:ABBV,Investor Activism,Announced,-,-,-,IQTR608876791
03/29/2019,Northrop Grumman Corporation (NYSE:NOC),NYSE:NOC,Investor Activism,Announced,-,-,-,IQTR612184078
03/28/2019,Eagle Materials Inc. (NYSE:EXP),NYSE:EXP,Investor Activism,Announced,-,Sachem Head Capital Management,-,IQTR607941114
03/28/2019,Japan Display Inc. (TSE:6740),TSE:6740,Investor Activism,Announced,-,Effissimo Capital Management Pte Ltd.,-,IQTR611366729
03/28/2019,"Teikoku Electric Mfg.Co.,Ltd. (TSE:6333)",TSE:6333,Investor Activism,Announced,-,United Managers Japan Incorporated,-,IQTR611367219
03/28/2019,Tikforce Limited (ASX:TKF),ASX:TKF,Investor Activism,Withdrawn,-,"Alignment Capital Pty Ltd, Asset Management Arm; Union Square Capital Pty Ltd",-,IQTR612646864
03/27/2019,Smiles Inclusive Limited (ASX:SIL),ASX:SIL,Investor Activism,Announced,-,-,-,IQTR607693911
03/27/2019,Rand Capital Corporation (NasdaqCM:RAND),NasdaqCM:RAND,Investor Activism,Announced,-,"User Friendly Media, LLC",-,IQTR607770053
03/27/2019,Aimia Inc. (TSX:AIM),TSX:AIM,Investor Activism,Announced,-,-,-,IQTR607823268
03/27/2019,U.S. Energy Corp. (NasdaqCM:USEG),NasdaqCM:USEG,Investor Activism,Announced,-,"Angelus Capital, LLC",-,IQTR607922033
03/27/2019,"Safeguard Scientifics, Inc. (NYSE:SFE)",NYSE:SFE,Investor Activism,Settled,-,"Sierra Capital Investment Partners, Inc.; Horton Capital Management, LLC",-,IQTR607928743
03/27/2019,"Paycom Software, Inc. (NYSE:PAYC)",NYSE:PAYC,Investor Activism,Announced,-,-,-,IQTR608695676
03/27/2019,Komori Corporation (TSE:6349),TSE:6349,Investor Activism,Announced,-,"Brandes Investment Partners, L.P.",-,IQTR612380396
03/27/2019,"TACHI-S Co., Ltd. (TSE:7239)",TSE:7239,Investor Activism,Announced,-,"Brandes Investment Partners, L.P.",-,IQTR612383002
03/26/2019,"Build-A-Bear Workshop, Inc. (NYSE:BBW)",NYSE:BBW,Investor Activism,Announced,-,-,-,IQTR607627891
03/26/2019,Bed Bath & Beyond Inc. (NasdaqGS:BBBY),NasdaqGS:BBBY,Investor Activism,Announced,-,"Ancora Advisors, LLC; Legion Partners Holdings, LLC",-,IQTR607649628
03/26/2019,First United Corporation (NasdaqGS:FUNC),NasdaqGS:FUNC,Investor Activism,Announced,-,Driver Management Company LLC,-,IQTR607662560
03/26/2019,"Enzo Biochem, Inc. (NYSE:ENZ)",NYSE:ENZ,Investor Activism,Announced,-,"Roumell Asset Management, LLC",-,IQTR607678157
03/26/2019,Sun Corporation (JASDAQ:6736),JASDAQ:6736,Investor Activism,Announced,-,Oasis Management Company Ltd.,-,IQTR612273714
03/25/2019,Senex Energy Limited (ASX:SXY),ASX:SXY,Investor Activism,Announced,-,EIG Global Energy Partners,-,IQTR607485234
03/25/2019,"Wright Investors' Service Holdings, Inc. (OTCPK:WISH)",OTCPK:WISH,Investor Activism,Announced,-,"Cove Street Capital, LLC",-,IQTR607555900
03/25/2019,Jones Soda Co. (OTCPK:JSDA),OTCPK:JSDA,Investor Activism,Announced,-,SOL Global Investments Corp. (CNSX:SOL),-,IQTR607561201
03/25/2019,Amuse Inc. (TSE:4301),TSE:4301,Investor Activism,Announced,-,United Managers Japan Incorporated,-,IQTR607813228
03/22/2019,Benjamin Hornigold Limited (ASX:BHD),ASX:BHD,Investor Activism,Announced,-,Gm Enterprises Australia Pty Ltd,-,IQTR607133644
03/22/2019,"Select Interior Concepts, Inc. (NasdaqCM:SIC)",NasdaqCM:SIC,Investor Activism,Announced,-,ADW Capital Management LLC,-,IQTR607929020
03/21/2019,Mithril Resources Limited (ASX:MTH),ASX:MTH,Investor Activism,Announced,-,Northern Star Nominees Pty Ltd; Bodie Investments Pty Ltd,-,IQTR607090651
03/21/2019,Verizon Communications Inc. (NYSE:VZ),NYSE:VZ,Investor Activism,Announced,-,Trillium Asset Management LLC,-,IQTR607090862
03/21/2019,Newmont Goldcorp Corporation (NYSE:NEM),NYSE:NEM,Investor Activism,Announced,-,Paulson & Co. Inc.,-,IQTR607123184
03/21/2019,Uniper SE (XTRA:UN01),XTRA:UN01,Investor Activism,Announced,-,Elliott Advisors (UK) Limited,-,IQTR607131249
03/21/2019,"Adverum Biotechnologies, Inc. (NasdaqGM:ADVM)",NasdaqGM:ADVM,Investor Activism,Settled,-,"The Sonic Fund II, L.P.",-,IQTR612564807
03/20/2019,Athelney Trust plc (LSE:ATY),LSE:ATY,Investor Activism,Announced,-,-,-,IQTR606955152
03/20/2019,The McClatchy Company (AMEX:MNI),AMEX:MNI,Investor Activism,Announced,-,Bluestone Financial Ltd,-,IQTR607014791
03/19/2019,Maximus Resources Limited (ASX:MXR),ASX:MXR,Investor Activism,Announced,-,Kesli Chemicals Pty Ltd,-,IQTR606809504
03/19/2019,Nevro Corp. (NYSE:NVRO),NYSE:NVRO,Investor Activism,Settled,-,"Broadfin Capital, LLC",-,IQTR607006495
03/19/2019,"Asahi Industries Co., Ltd. (JASDAQ:5456)",JASDAQ:5456,Investor Activism,Successful,-,"Godo Steel, Ltd. (TSE:5410)",-,IQTR607813321
03/19/2019,"Hokuetsu Industries Co., Ltd. (TSE:6364)",TSE:6364,Investor Activism,Announced,-,United Managers Japan Incorporated,-,IQTR612259844
03/18/2019,"Citi Trends, Inc. (NasdaqGS:CTRN)",NasdaqGS:CTRN,Investor Activism,Settled,-,"Macellum Management, LP",-,IQTR606728795
03/18/2019,Mack-Cali Realty Corporation (NYSE:CLI),NYSE:CLI,Investor Activism,Announced,-,-,-,IQTR606729542
03/18/2019,General Electric Company (NYSE:GE),NYSE:GE,Investor Activism,Announced,-,-,-,IQTR606894362
03/18/2019,Australian Whisky Holdings Limited (ASX:AWY),ASX:AWY,Investor Activism,Announced,-,Quality Life Pty Ltd,-,IQTR607090542
03/18/2019,"Ryder System, Inc. (NYSE:R)",NYSE:R,Investor Activism,Announced,-,-,-,IQTR612011764
03/18/2019,"Iwaki Co., Ltd. (TSE:6237)",TSE:6237,Investor Activism,Announced,-,Dalton Investments LLC,-,IQTR612260848
03/18/2019,Nippon Yusen Kabushiki Kaisha (TSE:9101),TSE:9101,Investor Activism,Announced,-,"Reno Co., Ltd.",-,IQTR612270762
03/15/2019,"BNCCORP, Inc. (OTCPK:BNCC)",OTCPK:BNCC,Investor Activism,Settled,-,"PL Capital, LLC",-,IQTR606534844
03/15/2019,PG&E Corporation (NYSE:PCG),NYSE:PCG,Investor Activism,Withdrawn,-,"Knighthead Capital Management, LLC",-,IQTR606756076
03/15/2019,"PFSweb, Inc. (NasdaqCM:PFSW)",NasdaqCM:PFSW,Investor Activism,Settled,-,"Engine Capital Management, LLC",-,IQTR607005068
03/15/2019,TransAlta Corporation (TSX:TA),TSX:TA,Investor Activism,Unsuccessful,-,Mangrove Partners,-,IQTR607552420
03/15/2019,"Marriott International, Inc. (NasdaqGS:MAR)",NasdaqGS:MAR,Investor Activism,Withdrawn,-,"Land and Buildings Investment Management, LLC",-,IQTR607671022
03/14/2019,Superdry Plc (LSE:SDRY),LSE:SDRY,Investor Activism,Successful,-,-,-,IQTR606363761
03/14/2019,Etaireia Investments Plc,-,Investor Activism,Announced,-,-,-,IQTR606391236
03/13/2019,Flinders Mines Limited (ASX:FMS),ASX:FMS,Investor Activism,Announced,-,-,-,IQTR606197724
03/13/2019,"Cracker Barrel Old Country Store, Inc. (NasdaqGS:CBRL)",NasdaqGS:CBRL,Investor Activism,Announced,-,Biglari Capital Corp.,-,IQTR606248676
03/13/2019,"Determine, Inc. (OTCPK:DTRM)",OTCPK:DTRM,Investor Activism,Announced,-,-,-,IQTR606303552
03/13/2019,"Alps Alpine Co., Ltd. (TSE:6770)",TSE:6770,Investor Activism,Announced,-,Oasis Management Company Ltd.,-,IQTR606396769
03/12/2019,"J. Alexander's Holdings, Inc. (NYSE:JAX)",NYSE:JAX,Investor Activism,Announced,-,"Ancora Advisors, LLC",-,IQTR606117980
03/12/2019,"J.B. Hunt Transport Services, Inc. (NasdaqGS:JBHT)",NasdaqGS:JBHT,Investor Activism,Announced,-,Trillium Asset Management LLC,-,IQTR606130579
03/12/2019,"BioTime, Inc. (AMEX:BTX)",AMEX:BTX,Investor Activism,Announced,-,"Broadwood Capital, Inc.",-,IQTR606140793
03/12/2019,"Marushohotta Co.,Ltd. (TSE:8105)",TSE:8105,Investor Activism,Announced,-,"RIZAP GROUP, Inc. (SPSE:2928)",-,IQTR612267736
03/11/2019,Northgate plc (LSE:NTG),LSE:NTG,Investor Activism,Successful,-,Crystal Amber Fund Limited (AIM:CRS),-,IQTR605989856
03/11/2019,Knowles Corporation (NYSE:KN),NYSE:KN,Investor Activism,Announced,-,"Caligan Partners, LP",-,IQTR606019796
03/09/2019,"The ONE Group Hospitality, Inc. (NasdaqCM:STKS)",NasdaqCM:STKS,Investor Activism,Announced,-,Maguire Asset Management LLC,-,IQTR605811635
03/08/2019,Cornerstone Capital Resources Inc. (TSXV:CGP),TSXV:CGP,Investor Activism,Announced,-,SolGold plc (LSE:SOLG),-,IQTR605781237
03/08/2019,Neuberger Berman High Yield Strategies Fund Inc. (AMEX:NHS),AMEX:NHS,Investor Activism,Announced,-,"Saba Capital Management, L.P.",-,IQTR605821154
03/07/2019,The Local Shopping REIT plc (LSE:LSR),LSE:LSR,Investor Activism,Announced,-,Thalassa Holdings Limited (LSE:THAL),-,IQTR605626507
03/07/2019,"Zayo Group Holdings, Inc. (NYSE:ZAYO)",NYSE:ZAYO,Investor Activism,Announced,-,Starboard Value LP,-,IQTR605656037
03/06/2019,Medley Management Inc. (NYSE:MDLY),NYSE:MDLY,Investor Activism,Announced,-,"Marathon Asset Management, LP",-,IQTR605489779
03/06/2019,Medley Capital Corporation (NYSE:MCC),NYSE:MCC,Investor Activism,Announced,-,"Marathon Asset Management, LP",-,IQTR605491313
03/06/2019,HollyFrontier Corporation (NYSE:HFC),NYSE:HFC,Investor Activism,Announced,-,TRC Capital Corporation,-,IQTR605807043
03/06/2019,Citigroup Inc. (NYSE:C),NYSE:C,Investor Activism,Announced,-,-,-,IQTR606000684
03/06/2019,Citigroup Inc. (NYSE:C),NYSE:C,Investor Activism,Announced,-,-,-,IQTR606002541
03/06/2019,Citigroup Inc. (NYSE:C),NYSE:C,Investor Activism,Announced,-,-,-,IQTR606003866
03/05/2019,Fastenal Company (NasdaqGS:FAST),NasdaqGS:FAST,Investor Activism,Announced,-,As You Sow Foundation,-,IQTR605271714
03/05/2019,"L Brands, Inc. (NYSE:LB)",NYSE:LB,Investor Activism,Settled,-,"Barington Capital Group, L.P.",-,IQTR605272867
03/05/2019,"IDW Media Holdings, Inc. (OTCPK:IDWM)",OTCPK:IDWM,Investor Activism,Announced,-,-,-,IQTR605327653
03/05/2019,Scott's Liquid Gold-Inc. (OTCPK:SLGD),OTCPK:SLGD,Investor Activism,Announced,-,Iszo Capital Management LP,-,IQTR605385985
03/05/2019,Hyundai Home Shopping Network Corporation (KOSE:A057050),KOSE:A057050,Investor Activism,Announced,-,Dalton Investments LLC,-,IQTR605522567
03/05/2019,"Clarion Co., Ltd.",-,Investor Activism,Announced,-,Faurecia S.A. (ENXTPA:EO),-,IQTR607814118
03/05/2019,"Sanshin Electronics Co., Ltd. (TSE:8150)",TSE:8150,Investor Activism,Announced,-,"S-Grant Co., Ltd.",-,IQTR612272355
03/04/2019,EMC Insurance Group Inc. (NasdaqGS:EMCI),NasdaqGS:EMCI,Investor Activism,Announced,-,-,-,IQTR605118206
03/04/2019,Leaf Group Ltd. (NYSE:LEAF),NYSE:LEAF,Investor Activism,Announced,-,"Osmium Partners, LLC",-,IQTR605154925
03/04/2019,"Ocular Therapeutix, Inc. (NasdaqGM:OCUL)",NasdaqGM:OCUL,Investor Activism,Announced,-,Summer Road LLC,-,IQTR605182763
03/04/2019,Texas Pacific Land Trust (NYSE:TPL),NYSE:TPL,Investor Activism,Announced,-,"Horizon Kinetics LLC; SoftVest Management, LP",-,IQTR606726836
03/04/2019,"V-cube, Inc. (TSE:3681)",TSE:3681,Investor Activism,Announced,-,REVIC Partners,-,IQTR612365107
03/01/2019,FirstEnergy Corp. (NYSE:FE),NYSE:FE,Investor Activism,Announced,-,-,-,IQTR604828131
03/01/2019,Ovid Therapeutics Inc. (NasdaqGS:OVID),NasdaqGS:OVID,Investor Activism,Announced,-,-,-,IQTR604836161
03/01/2019,"PiPEDO HD, Inc. (TSE:3919)",TSE:3919,Investor Activism,Announced,-,-,-,IQTR612271930
02/28/2019,Knight Therapeutics Inc. (TSX:GUD),TSX:GUD,Investor Activism,Announced,-,Medison Biotech Ltd.,-,IQTR604678180
02/28/2019,"Autoliv, Inc. (NYSE:ALV)",NYSE:ALV,Investor Activism,Settled,-,Cevian Capital II Gp Limited,-,IQTR604814354
02/27/2019,"Hyundai Mobis Co.,Ltd (KOSE:A012330)",KOSE:A012330,Investor Activism,Announced,-,Elliott Advisors (HK) Limited,-,IQTR604446908
02/27/2019,GCP Applied Technologies Inc. (NYSE:GCP),NYSE:GCP,Investor Activism,Settled,-,Starboard Value LP,-,IQTR604483001
02/27/2019,Bristol-Myers Squibb Company (NYSE:BMY),NYSE:BMY,Investor Activism,Unsuccessful,-,Wellington Management Company LLP,-,IQTR604553485
02/27/2019,"Versum Materials, Inc. (NYSE:VSM)",NYSE:VSM,Investor Activism,Successful,-,MERCK Kommanditgesellschaft auf Aktien (DB:MRK),-,IQTR604576240
02/26/2019,"Arlo Technologies, Inc. (NYSE:ARLO)",NYSE:ARLO,Investor Activism,Settled,-,"Viex Capital Advisors, LLC",-,IQTR604354313
02/26/2019,"ShinMaywa Industries, Ltd. (TSE:7224)",TSE:7224,Investor Activism,Announced,-,"Reno Co., Ltd.",-,IQTR612272492
02/25/2019,Panalpina Welttransport (Holding) AG (SWX:PWTN),SWX:PWTN,Investor Activism,Announced,-,Ernst Gohner Stiftung,-,IQTR604192665
02/25/2019,Pires Investments plc (AIM:PIRI),AIM:PIRI,Investor Activism,Announced,-,"Global Prime Partners Ltd, Asset Management Arm",-,IQTR605526944
02/22/2019,"Magellan Health, Inc. (NasdaqGS:MGLN)",NasdaqGS:MGLN,Investor Activism,Settled,-,Starboard Value LP,-,IQTR603853288
