comment_id,role,genchar1,mp,RATING1.GENCHAR1.rating,RATING1.GENCHAR1.COMMENT,RATING1.GENCHAR1.COMMENT.type,RATING2.GENCHAR1.rating,RATING2.GENCHAR1.type,RATING2.GENCHAR1.COMMENT,statement_target,sentiment,trial_categories,rater1_reassigned,rater2_reassigned,rater1_raw,rater2_raw,commentator_instrument,rater1,rater2
GENCHAR2.06,Class member 2,I felt tired while listening. Felt like going to sleep.,neither,4,"I didn't feel(?) like going to sleep, but I agree in same way because it lacked some urgent *???* in some places and that can resolt in sounding boring.",Elaboration,3,,No comment,both,other,neither,4,3,4,3,String,Class member 8,Class member 6
GENCHAR2.07,Class member 3,Fluid comunication between players on phrasings and last minute ideas.,P,4,,No comment,3,I think they could be more flowing but Z(?) like the last minutes ideas(?),With qualifications,both,pos,description of collaboration,4,3,4,4,String,Class member 4,Class member 10
GENCHAR3.02,Performing cellist,(modified) There are some places where the performers were not togheter. But I like the flexibility they had in their performance. I think that kind of ensemble work - responsing to each other - should come out nicely to the audience.,P,4,,No comment,3,"The rubato and timing were not always togheter, but it is not offensive.",With qualifications,both,mixed,judgement of collaboration,4,3,4,4,Performing cellist,Performing pianist,Non-performing pianist
GENCHAR3.07,Class member 3,Wide use of color from the cello which was attentively communicated to the piano and vice versa.,P,4,,No comment,3,cello has a lot different character change. Don't understand the last common(?),With qualifications,both,pos,judgement of collaboration / interpretation,4,3,4,4,String,Class member 4,Class member 10
GENCHAR1.10,Class member 6,The performance was very expressive,M,3,"It was expressive overall (especially in terms of tone quality), but I felt it could be more imaginative, unpredictable, and sweeping in motion",With qualifications,4,,No comment,both,pos,judgement of interpretation,3,4,4,4,Both,Class member 9,Class member 5
GENCHAR1.01,Performing pianist,Tempo began slow but turned out to be perfect,M,3,"It was not slow, just lacking of the direction orflexibility. But, it was better later on.",With qualifications,3,"The tempo began slow, but it remains too slow during the piece.",Elaboration,both,mixed,judgement of interpretation,3,3,3,3,Piano,Performing cellist,Non-performing cellist
GENCHAR2.11,Class member 7,Wistful quality to the performance - sad but not melodramatic,M,3,"Sometimes from the performance I could feel what tey wanted to do, however they were not communicating enough to put this togheter",With qualifications,3,,No comment,both,descriptive,description of interpretation,3,3,3,3,Piano,Class member 5,Class member 1
GENCHAR3.10,Class member 6,The dynamics were exellent,M,3,"The dynamic markings were followed generally, but I think the dynamics can be exaggerated more",With qualifications,3,"They had different level of dynamics, they could listen to each other more",Elaboration,both,pos,judgement of interpretation,3,3,3,3,Both,Class member 9,Class member 5
GENCHAR3.03,Non-performing pianist,The performers were very aware of melodic phrases and sucessfully passed them back and forth.,P,3,"That's true, but I feel they still needd more work together deciding better where the phrases go.",With qualifications,3,I think it could be more organic.,Elaboration,both,pos,description of collaboration,3,3,3,3,Both,Non-performing cellist,Performing cellist
GENCHAR3.11,Class member 7,Rubato was enough to be expressive without detracting from the direction of longer phrases,M,3,"Rubato could be used to(?), more special moment, maybe it was overused.",With qualifications,3,It could have more rubato,Elaboration,both,pos,judgement of interpretation,3,3,4,3,Piano,Class member 5,Class member 1
GENCHAR2.02,Performing cellist,"(modified) I think that the balance was ok, although the cellist couldn't really hear the piano while he was playing.",P,don't know,How do you know what the cellist couldn't hear.,Disagrees with basis for claim,3,"Maybe the cellist was not listening to the piano, leading to different musical ideas.",With qualifications,both,mixed,judgement of collaboration,don't know,3,don't know,4,String,Performing pianist,Non-performing pianist
GENCHAR2.01,Performing pianist,All within pp - mf range,M,3,"It was on the safe side in general. However, there were couple of moments were played with full sound - at least in forte.",With qualifications,don't know,"If he means that in general the *???* of the performance is betwen pp-mf(?) and it never really reach a(?) forte, then I agree,",Elaboration,both,descriptive,description of interpretation,3,don't know,3,don't know,Piano,Performing cellist,Non-performing cellist
GENCHAR1.03,Non-performing pianist,The performers seemed to have different approaches to the sound of the music; the piano was generally more open versus a softer cello.,P,5,,No comment,2,"I didn't hear it that way. Piano and cello are two different instruments. The piano does(?) have more *???* sound, but I don't think the balance was off, or the approaches were too(?) different.",Elaboration,both,descriptive,judgement of collaboration,5,2,5,2,Both,Non-performing cellist,Performing cellist
GENCHAR1.11,Class member 7,The blend of the textures between the cello and piano were very well balanced,M/P,2,"When piano has melody it sounded like ""I'm here"", without fitting in the piece and not quite balanced",Elaboration,4,,No comment,both,pos,judgement of collaboration,2,4,2,4,Piano,Class member 5,Class member 1
GENCHAR3.12,Class member 8,The ending was pleasingly done with convincing atmosphere.,M*,5,,No comment,1,,No comment,both,pos,judgement of interpretation,5,1,5,1,Piano,Class member 6,Class member 2
GENCHAR1.06,Class member 2,Both players are very good but I'm not sure I like the piece...,P,2,The piece has so much emotion contained and I very much like the piece,Elaboration,3,,No comment,both,other,judgement of players and piece,2,3,2,3,String,Class member 8,Class member 6
GENCHAR2.05,Class member 1,"I was distracted by the space of the room, it was hard to focus on just their playing",neither,2,"I think it was a fine space, you could hear and see them easily and focus on the performance",Elaboration,3,"I did not personally find the ""space of the room"" distracting from the performance, but I could see how someone could with the noise of the fan and close proximity of the listeners.",Elaboration,both,other,other,2,3,2,3,Both,Class member 7,Class member 9
GENCHAR3.05,Class member 1,I wish the space was darker,neither,2,the light didn't make a difference to me,Elaboration,3,I don't see how the amout of light in the room has anything to do with the musical performance. I can see how a darker atmosphere could help the intimacy factor.,Elaboration,neither,other,other,2,3,2,3,Both,Class member 7,Class member 9
GENCHAR3.06,Class member 2,Piano is too loud and covering the cello.,P,1,I actually thought the opposite. The pianist could bring out some other interesting voices and help the line and phrases more connected. I could hear(?) the cello part without the piano covering the sound.,Elaboration,1,I thought the performance wa very well baalnced,Elaboration,Piano,neg,judgement of interpretation,1,1,1,1,String,Class member 8,Class member 6
