Artist Alpha Sort,Artist Begin Date,Artist Display Bio,Artist Display Name,Artist End Date,Artist Nationality,Artist Prefix,Artist Role,Symbolic Value KPI,Legality KPI ,Preservation KPI Materials,totalKPIs,Materials Classifying - Preservation KPI,If Null,CaseTotalKPI,Risk Assessment - Preservation KPI,City,Classification,Country,County,Credit Line,Culture,Department,Dimensions,Dynasty,Excavation,F45,F46,F47,F48,F49,Geography Type,Is Highlight,Is Public Domain,Link Resource,Locale,Locus,Medium,Metadata Date,Number of Records,Object Begin Date,Object Date,Object End Date,Object ID,ObjectName,ObjectNumber,Period,Portfolio,Region,Reign,Repository,Rights and Reproduction,Risk Assessment - Preservation KPI Part 2,River,State,Subregion,Tags,Title
,,,,,,,,0,0,0,10,Man made material,9,Contentious,North America,New York,Furniture,United States,,"Gift of James DeLancey Verplanck and John Bayard Rodgers Verplanck,  1939",American,American Decorative Arts,38 1/2 x 24 1/2 x 21 3/4 in. (97.8 x 62.2 x 55.2 cm),,,,,,,,Probably made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/1855,,,"Walnut, white oak, white pine",4/1/2019 8:00:02 AM,1,1760,1760–90,1790,1855,Side Chair,39.184.4,,,,,"Metropolitan Museum of Art, New York, NY",,9,,,,Chairs,Side Chair
,,,,,,,,0,0,1,10,Clay,8,Contentious,Europe,,Glass,England,,"Gift of the Members of the Committee of the Bertha King Benkard Memorial Fund, 1946",British or Irish,American Decorative Arts,H. 36 in. (91.4 cm),,,,,,,,Made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/1960,,,"Glass, brass",4/1/2019 8:00:02 AM,1,1810,1810–20,1820,1960,Chandelier,46.67.144,,,,,"Metropolitan Museum of Art, New York, NY",,8,,,,Lighting|Candles,Chandelier
,,,,,,,,0,0,1,11,Clay,9,Contentious,North America,,Glass,United States,,"Gift of Mr. and Mrs. Junius S. Morgan, 1956",American,American Decorative Arts,51 x 34 1/4 in. (129.5 x 87 cm),,,,,,,,Probably made in,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/1963,,,Cut blown glass,4/1/2019 8:00:02 AM,1,1900,20th century,2000,1963,Chandelier,56.109.2,,,,,"Metropolitan Museum of Art, New York, NY",,9,,,,Lighting|Candles,Chandelier
,,,,,,,,0,0,0,10,Man made material,9,Contentious,North America,,Furniture,United States,,"Gift of Mrs. Russell Sage, 1909",American,American Decorative Arts,93 x 53 x 23 3/4 in. (236.2 x 134.6 x 60.3 cm),,,,,,,,Probably made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/2268,,,Pine,4/1/2019 8:00:02 AM,1,1750,1750–1800,1800,2268,Corner cupboard,10.125.403,,,New England,,"Metropolitan Museum of Art, New York, NY",,9,,,,Storage Furniture,Corner Cupboard
Tiffany & Co.,1837,1837–present,Tiffany & Co.,9999,,,Maker,0,0,0,10,Man made material,9,Contentious,North America,New York,Natural Substances|Glass,United States,,"Gift of Mrs. Emma Matthiessen, in memory of F. O. Matthiessen, 1904",American,American Decorative Arts,15 1/4 x 9 3/4 x 7 3/4 in. (38.7 x 24.8 x 19.7 cm),,,,,,,,Made in,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/2326,,,"Glass, jade, enamel on copper",4/1/2019 8:00:02 AM,1,1900,1900,1900,2326,Bowl,04.6.18a–d,,,,,"Metropolitan Museum of Art, New York, NY",,9,,,,Bowls,Covered Bowl
McKee and Brothers,1856,1856–89,McKee and Brothers,1889,,,Maker,0,0,1,11,Clay,9,Contentious,North America,Pittsburgh,Glass,United States,,"Gift of Mrs. Emily Winthrop Miles, 1946",American,American Decorative Arts,Dimensions unavailable,,,,,,,,Made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/2374,,,Pressed opaque white glass,4/1/2019 8:00:02 AM,1,1880,1880–90,1890,2374,Dish,"46.140.750a, b",,,,,"Metropolitan Museum of Art, New York, NY",,9,,,,Horses|Dishes,Figure Dish
,,,,,,,,0,0,0,1,Other Organic Material,0,Overall Collection,Unknown,,Natural Substances,,,"Friends of the American Wing Fund, 1966","American, Shaker",American Decorative Arts,2 15/16 x 7 9/16 x 4 7/8 in. (7.5 x 19.2 x 12.4 cm),,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/2471,,,"Wood; Maple, pine",4/1/2019 8:00:02 AM,1,1800,1800–1900,1900,2471,Box,"66.10.39a, b",,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Boxes,Oval Box
"Hobbs, Brockunier and Company ",1863,1863–1891,"Hobbs, Brockunier and Company",1891,,Probably,Maker,0,0,1,11,Clay,9,Contentious,North America,Wheeling,Glass,United States,,"Gift of Mrs. Emily Winthrop Miles, 1946",American,American Decorative Arts,H. 5 3/4 in. (14.6 cm),,,,,,,,Made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/2505,,,"Pressed cranberry, opalescent and colorless glass",4/1/2019 8:00:02 AM,1,1887,after 1886,1896,2505,Sugar bowl,"46.140.443a, b",,,,,"Metropolitan Museum of Art, New York, NY",,9,,,,Bowls,Covered Hobnail Sugar Bowl
"Wishart, Hugh",1793,active ca. 1793–1824,Hugh Wishart,1824,,,Maker,0,0,5,15,Metals,9,Contenders for repatriation,North America,New York,Silver,United States,,"Gift of George P. Cammann, 1917",American,American Decorative Arts,"Overall: 6 1/8 x 8 x 4 3/16 in. (15.6 x 20.3 x 10.6 cm); 15 oz. 17 dwt. (493.3 g)
Body: 5 3/16 in. (13.2 cm); 12 oz. 3 dwt. (377.8 g)
Cover: 1 15/16 x 5 1/2 x 3 7/16 in. (4.9 x 14 x 8.7 cm); 3 oz. 14 dwt. (115.5 g)",,,,,,,,Made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/2525,,,Silver,4/1/2019 8:00:02 AM,1,1800,1800–1830,1830,2525,Sugar Bowl,"17.55.2a, b",,,,,"Metropolitan Museum of Art, New York, NY",,9,,,,Inscriptions|Bowls,Sugar Bowl
,,,,,,,,0,0,1,9,Clay,7,Mid-Point,Asia-Pacific,,Ceramics,China,,"Gift of Mrs. J. Insley Blair, 1942",Chinese,American Decorative Arts,"Cup: H. 1 5/8 in. (4.1 cm); Diam. 3 1/2 in. (8.9 cm)
Saucer: H. 1 1/2 in. (3.8 cm); Diam. 5 5/8 in. (14.3 cm)",,,,,,,,Made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/2840,,,Porcelain,4/1/2019 8:00:02 AM,1,1800,1800–1815,1815,2840,Cup and saucer,"42.149.19, .29",,,,,"Metropolitan Museum of Art, New York, NY",,7,,,,Emblems|Dishes,Cup and Saucer
,,,,,,,,0,0,5,14,Metals,8,Contentious,Europe,,Metal,England,,"Rogers Fund, 1961",,American Decorative Arts,8 x 7 1/2 in. (20.3 x 19.1 cm),,,,,,,,Made in,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/3027,,,"Brass, opaque white glass",4/1/2019 8:00:02 AM,1,1880,1880–95,1895,3027,Curtain tieback,61.135.2,,,,,"Metropolitan Museum of Art, New York, NY",,8,,,,,Curtain Tieback
Union Porcelain Works,1863,1863–ca. 1922,Union Porcelain Works,1922,,,Maker,0,0,1,11,Clay,9,Contentious,North America,Brooklyn,Ceramics,United States,,"Gift of Mr. and Mrs. Franklin Chace, 1969",American,American Decorative Arts,"Cup: H. 1 15/16 in. (4.9 cm); Diam. 2 13/16 in. (7.1 cm)
Saucer: Diam. 4 7/8 in. (12.4 cm)",,,,,,,,Made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/3116,,,Porcelain,4/1/2019 8:00:02 AM,1,1885,1885–87,1887,3116,Demitasse cup and saucer,"69.194.118, .129",,,,,"Metropolitan Museum of Art, New York, NY",,9,,,,Flowers|Cups|Saucers,Demitasse Cup and Saucer
,,,,,,,,0,0,0,9,Man made material,8,Mid-Point,Europe,,Furniture,England,,"Gift of James De Lancey Verplanck and John Bayard Rodgers Verplanck, 1939",British,American Decorative Arts,81 1/8 x 43 7/8 x 23 1/2 in. (206.1 x 111.4 x 59.7 cm),,,,,,,,Made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/3146,,,"Oak, pine",4/1/2019 8:00:02 AM,1,1700,1700–1720,1720,3146,Desk and bookcase,"39.184.1a, b",,,,,"Metropolitan Museum of Art, New York, NY",,8,,,,Animals|Birds|Desks|Cabinets,Desk and bookcase
,,,,,,,,0,0,1,10,Clay,8,Contentious,Europe,Leeds,Ceramics,England,West Yorkshire,"Gift of Col. G. Creighton Webb, 1936",British,American Decorative Arts,1 7/8 x 10 3/8 x 7 7/8 in. (4.8 x 26.4 x 20 cm),,,,,,,,Made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/3322,,,Earthenware,4/1/2019 8:00:02 AM,1,1750,1750–75,1775,3322,Dish,36.22.11,,,,,"Metropolitan Museum of Art, New York, NY",,8,,West Yorkshire,,Inscriptions|Dishes,Dish
,,,,,,,,0,0,1,9,Clay,7,Mid-Point,Asia-Pacific,,Ceramics,China,,"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960","Chinese, for American market",American Decorative Arts,9 1/4 x 10 13/16 in. (23.5 x 27.5 cm),,,,,,,,Made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/3333,,,Porcelain,4/1/2019 8:00:02 AM,1,1860,ca. 1860–66,1866,3333,Dish,60.111.53,,,,,"Metropolitan Museum of Art, New York, NY",,7,,,,Birds|Flowers|Dishes,Dish
Tiffany & Co.,1837,1837–present,Tiffany & Co.,9999,,,Maker,0,0,5,15,Metals,9,Contenders for repatriation,North America,New York,Metal,United States,,"Gift of Tiffany & Company, 1985",American,American Decorative Arts,10 3/8 x 7 1/2 x 3 1/2 in. (26.4 x 19.1 x 8.9 cm),,,,,,,,Made in,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/3858,,,"Copper, metal alloy, lead",4/1/2019 8:00:02 AM,1,1872,ca. 1875,1878,3858,Solid Casting Pattern,"1985.191.3c, d",,,,,"Metropolitan Museum of Art, New York, NY",,9,,,,Flowers|Leaves|Vases,Full-size patterns for facsimiles of front and back halves of rim and neck of Bryant Vase
,,,,,,,,1,0,1,11,Clay,8,Contentious,Europe,,Ceramics,France,,"Gift of William H. Huntington, 1883",French,American Decorative Arts,Diam. 1 3/4 in. (4.4 cm),,,,,,,,Made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/3949,,,Probably porcelain,4/1/2019 8:00:02 AM,1,1837,ca. 1840,1840,3949,Medallion,83.2.125,,,,,"Metropolitan Museum of Art, New York, NY",,8,,,,George Washington|Profiles,George Washington
Stiegel's Manheim Factory,1763,1763–1774,Stiegel's Manheim Factory,1774,,,Maker,0,0,1,11,Clay,9,Contentious,North America,Manheim,Glass,United States,,"Gift of Frederick W. Hunter, 1913",American,American Decorative Arts,W. 3 1/2 in. (8.9 cm),,,,,,,,Made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/4007,,,Free-blown glass,4/1/2019 8:00:02 AM,1,1763,1763–74,1774,4007,Fragment,13.223.7,,,,,"Metropolitan Museum of Art, New York, NY",,9,,,,,Fragment
,,,,,,,,0,0,1,2,Clay,0,Overall Collection,Unknown,,Glass,,,"Gift of Mrs. Douglas Williams, 1969",,American Decorative Arts,Dimensions unavailable,,,,,,,,,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/4024,,,Blown glass,4/1/2019 8:00:02 AM,1,1800,19th century,1900,4024,Globe,69.262.15,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Globe
,,,,,,,,0,0,5,6,Metals,0,Mid-Point,Unknown,,Metal,,,"Gift of New York Clearing House, 1963",,American Decorative Arts,H. 5 5/8 in. (14.3 cm); Diam. 3 3/4 in. (9.5 cm),,,,,,,,,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/4073,,,Glass,4/1/2019 8:00:02 AM,1,1892,ca. 1895,1895,4073,Glass Globe,Inst.63.2.62,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Utilitarian Objects,Glass Globe
,,,,,,,,0,0,5,6,Metals,0,Mid-Point,Unknown,,Metal,,,"Gift of Mrs. J. Insley Blair, 1949",,American Decorative Arts,6 3/4 x 5 1/2 in. (17.1 x 14 cm),,,,,,,,,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/4302,,,Wrought iron,4/1/2019 8:00:02 AM,1,1700,1700–1800,1800,4302,Hinge,49.117.20,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,,Hinge
"Will, Henry",1734,1734–ca. 1802,Henry Will,1802,,,Maker,0,0,5,6,Metals,0,Mid-Point,Unknown,New York|Albany,Metal,United States|United States,,"Rogers Fund, 1946",American,American Decorative Arts,H. 1 3/4 in. (4.4 cm); Diam. 9 7/16 in. (24 cm),,,,,,,,Possibly made in|Possibly made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/4400,,,Pewter,4/1/2019 8:00:02 AM,1,1761,1761–93,1793,4400,Hot water plate,46.27,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Dishes,Hot Water Plate
"Warner, Andrew Ellicott",1786,1786–1870,Andrew Ellicott Warner,1870,,,Maker,0,0,5,15,Metals,9,Contenders for repatriation,North America,Baltimore,Silver,United States,,"Friends of the American Wing Fund, 1987",American,American Decorative Arts,"Overall: 1 11/16 x 6 1/4 in. (4.3 x 15.9 cm); 8 oz. 13 dwt. (268.6 g)
Bezel: Diam. 5 3/16 in. (13.2 cm)",,,,,,,,Made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/4767,,,Silver,4/1/2019 8:00:02 AM,1,1845,1845,1845,4767,Waste Bowl,1987.31.7b,,,,,"Metropolitan Museum of Art, New York, NY",,9,,,,Bowls,Rim for Waste Bowl
"La Farge, John",1835,"American, New York 1835–1910 Providence, Rhode Island",John La Farge,1910,American,,Maker,0,0,1,11,Clay,9,Contentious,North America,New York,Glass,United States,,"Gift of Mrs. Otto Heinigke, 1916",American,American Decorative Arts,"30 1/4 x 63 in., 64lb. (76.8 x 160 cm)
Framed: 34 3/4 x 68 7/8 x 2 in. (88.3 x 174.9 x 5.1 cm)",,,,,,,,Made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/4921,,,Leaded opalescent glass,4/1/2019 8:00:02 AM,1,1877,ca. 1880–82,1882,4921,Lunette,16.153.1,,,,,"Metropolitan Museum of Art, New York, NY",,9,,,,Architecture|Mythical Creatures,"Stained Glass Lunette from the Cornelius Vanderbilt II House, New York"
"Sawin, John|Dyer, George W.",1801,1801–1863,John Sawin|George W. Dyer,1863      |9999,,,Maker|Maker,0,0,0,10,Man made material,9,Contentious,North America,Boston,Furniture,United States,,"Gift of Mrs. Russell Sage, 1909",American,American Decorative Arts,33 x 12 1/2 in. (83.8 x 31.8 cm),,,,,,,,Made in,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/4922,,,"Mahogany, gilt gesso, eglomise tablet, tulip poplar, white pine",4/1/2019 8:00:02 AM,1,1822,1822–28,1828,4922,Lyre clock,10.125.391,,,,,"Metropolitan Museum of Art, New York, NY",,9,,,,Musical Instruments|Eagles|Clocks,Lyre Clock
"Fürst, Moritz",1782,"born 1782, active United States, 1807–ca. 1840",Moritz Fürst,1882,Hungarian,,Maker,1,0,5,16,Metals,9,Contenders for repatriation,North America,,Metal,United States,,"Gift of William H. Huntington, 1883",American,American Decorative Arts,Diam. 2 9/16 in. (6.5 cm),,,,,,,,Made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/5066,,,Bronze,4/1/2019 8:00:02 AM,1,1800,1800–1830,1830,5066,Medal,83.2.392,,,,,"Metropolitan Museum of Art, New York, NY",,9,,,,Men|Profiles,Medal of Captain Stephen Decatur
"Leach, Caleb",1773,active ca. 1776–90,Caleb Leach,1790,,,Maker,0,0,0,10,Man made material,9,Contentious,North America,Plymouth,Furniture,United States,,"The Sylmaris Collection, Gift of George Coe Graves, 1930",American,American Decorative Arts,47 x 11 3/8 x 5 5/8 in. (119.4 x 28.9 x 14.3 cm),,,,,,,,Made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/5203,,,"Mahogany, oak, maple, white pine",4/1/2019 8:00:02 AM,1,1785,1785–90,1790,5203,Clock,30.120.49,,,,,"Metropolitan Museum of Art, New York, NY",,9,,,,Clocks,Miniature Tall Clock
,,,,,,,,0,0,1,11,Clay,9,Contentious,North America,Bennington,Ceramics,United States,,"Gift of Dr. Charles W. Green, 1947",American,American Decorative Arts,9 1/4 x 8 1/2 x 6 1/8 in. (23.5 x 21.6 x 15.6 cm),,,,,,,,Probably made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/5748,,,Parian porcelain,4/1/2019 8:00:02 AM,1,1830,1830–70,1870,5748,Pitcher,47.90.190,,,,,"Metropolitan Museum of Art, New York, NY",,9,,,,Faces|Flowers|Leaves|Pitchers,Pitcher
,,,,,,,,0,0,1,11,Clay,9,Contentious,North America,,Glass,United States,,"Gift of Mrs. Emily Winthrop Miles, 1946",American,American Decorative Arts,H. 6 11/16 in. (17 cm),,,,,,,,Made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/5886,,,Pressed glass,4/1/2019 8:00:02 AM,1,1850,1850–70,1870,5886,Pitcher,46.140.785,,,,,"Metropolitan Museum of Art, New York, NY",,9,,,,Pitchers,Pitcher
,,,,,,,,0,0,1,10,Clay,8,Contentious,Europe,Delft,Ceramics,Netherlands,,"Rogers Fund, 1933",Dutch,American Decorative Arts,H. 2 in. (5.1 cm); Diam. 12 1/8 in. (30.8 cm),,,,,,,,Made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/5991,,,Earthenware,4/1/2019 8:00:02 AM,1,1700,1700–1800,1800,5991,Plate,33.85.5,,,,,"Metropolitan Museum of Art, New York, NY",,8,,,,Flowers|Dishes,Plate
,,,,,,,,0,0,1,10,Clay,8,Contentious,Europe,Paris,Ceramics,France,,"Gift of Miss Edith Johnson, 1941","French, possibly",American Decorative Arts,Diam. 8 3/4 in. (22.2 cm),,,,,,,,Possibly made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/6245,,,Porcelain,4/1/2019 8:00:02 AM,1,1777,ca. 1780,1783,6245,Cake plate,41.127.3,,,,,"Metropolitan Museum of Art, New York, NY",,8,,,,Dishes,Cake Plate
Tucker and Hemphill,1831,1831–37,Tucker and Hemphill,1837,,,Maker,0,0,1,11,Clay,9,Contentious,North America,Philadelphia,Ceramics,United States,,"Rogers Fund, 1963",American,American Decorative Arts,Diam. 6 3/16 in. (15.7 cm),,,,,,,,Made in,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/6253,,,Porcelain,4/1/2019 8:00:02 AM,1,1835,ca. 1838,1838,6253,Plate,63.88.2,,,,,"Metropolitan Museum of Art, New York, NY",,9,,,,,Plate
Boston and Sandwich Glass Company,1825,"American, 1825–1888, Sandwich, Massachusetts",Boston & Sandwich Glass Company,1888,,Possibly,Maker,0,0,1,11,Clay,9,Contentious,North America,Sandwich,Glass,United States,,"Gift of Mrs. Emily Winthrop Miles, 1946",American,American Decorative Arts,Diam. 6 5/16 in. (16 cm),,,,,,,,Made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/6437,,,Blown amber glass with applied threaded decoration,4/1/2019 8:00:02 AM,1,1880,1880–88,1888,6437,Plate,46.140.381,,,,,"Metropolitan Museum of Art, New York, NY",,9,,,,Flowers|Dishes,Plate
"Calder, William",1792,1792–1856,William Calder,1856,,,Maker,0,0,5,15,Metals,9,Contenders for repatriation,North America,Providence,Metal,United States,,"Gift of Mrs. J. Insley Blair, in memory of her husband, 1940",American,American Decorative Arts,2 1/4 x 7 5/8 x 5 1/4 in. (5.7 x 19.4 x 13.3 cm),,,,,,,,Made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/6670,,,Pewter,4/1/2019 8:00:02 AM,1,1817,1817–56,1856,6670,Porringer,40.184.8,,,,,"Metropolitan Museum of Art, New York, NY",,9,,,,Bowls,Porringer
"Hamlin, Samuel",1746,1746–1801,Samuel Hamlin,1801,,,Maker,0,0,5,15,Metals,9,Contenders for repatriation,North America,Providence,Metal,United States,,"Gift of Mrs. Stephen S. FitzGerald, 1962",American,American Decorative Arts,2 x 7 7/8 x 5 1/4 in. (5.1 x 20 x 13.3 cm),,,,,,,,Made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/6692,,,Pewter,4/1/2019 8:00:02 AM,1,1773,1773–1801,1801,6692,Porringer,62.89.2,,,,,"Metropolitan Museum of Art, New York, NY",,9,,,,Bowls,Porringer
,,,,,,,,0,0,0,10,Man made material,9,Contentious,North America,New Orleans,Architecture,United States,,"Rogers Fund, 1916",American,American Decorative Arts,Overall (in nine parts): 7/8 in. x 52 ft. (2.3 cm x 624 in.),,,,,,,,Made in,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/6844,,,Wrought iron,4/1/2019 8:00:02 AM,1,1800,1800–1830,1830,6844,Railing,17.233a–i,,,,,"Metropolitan Museum of Art, New York, NY",,9,,,,,Railing
