"Object Number","Is Highlight","Is Public Domain","Object ID","Department","Object Name","Title","Culture","Period","Dynasty","Reign","Portfolio","Artist Role","Artist Prefix","Artist Display Name","Artist Display Bio","Artist Suffix","Artist Alpha Sort","Artist Nationality","Artist Begin Date","Artist End Date","Object Date","Object Begin Date","Object End Date","Medium","Dimensions","Credit Line","Geography Type","City","State","County","Country","Region","Subregion","Locale","Locus","Excavation","River","Classification","Rights and Reproduction","Link Resource","Metadata Date","Repository","Tags"
"04.6.18a–d","False","False","2326","American Decorative Arts","Bowl","Covered Bowl","American","","","","","Maker","","Tiffany & Co.","1837–present","","Tiffany & Co.","","1837      ","9999      ","1900","1900","1900","Glass, jade, enamel on copper","15 1/4 x 9 3/4 x 7 3/4 in. (38.7 x 24.8 x 19.7 cm)","Gift of Mrs. Emma Matthiessen, in memory of F. O. Matthiessen, 1904","Made in","New York","","","United States","","","","","","","Natural Substances|Glass","","http://www.metmuseum.org/art/collection/search/2326","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Bowls"
"46.140.750a, b","False","True","2374","American Decorative Arts","Dish","Figure Dish","American","","","","","Maker","","McKee and Brothers","1856–89","","McKee and Brothers ","","1856      ","1889      ","1880–90","1880","1890","Pressed opaque white glass","Dimensions unavailable","Gift of Mrs. Emily Winthrop Miles, 1946","Made in","Pittsburgh","","","United States","","","","","","","Glass","","http://www.metmuseum.org/art/collection/search/2374","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Horses|Dishes"
"66.10.39a, b","False","False","2471","American Decorative Arts","Box","Oval Box","American, Shaker","","","","","","","","","","","","","","1800–1900","1800","1900","Wood; Maple, pine","2 15/16 x 7 9/16 x 4 7/8 in. (7.5 x 19.2 x 12.4 cm)","Friends of the American Wing Fund, 1966","","","","","","","","","","","","Natural Substances","","http://www.metmuseum.org/art/collection/search/2471","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Boxes"
"46.140.443a, b","False","True","2505","American Decorative Arts","Sugar bowl","Covered Hobnail Sugar Bowl","American","","","","","Maker","Probably","Hobbs, Brockunier and Company","1863–1891","","Hobbs, Brockunier and Company ","","1863      ","1891      ","after 1886","1887","1896","Pressed cranberry, opalescent and colorless glass","H. 5 3/4 in. (14.6 cm)","Gift of Mrs. Emily Winthrop Miles, 1946","Made in","Wheeling","","","United States","","","","","","","Glass","","http://www.metmuseum.org/art/collection/search/2505","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Bowls"
"17.55.2a, b","False","True","2525","American Decorative Arts","Sugar Bowl","Sugar Bowl","American","","","","","Maker","","Hugh Wishart","active ca. 1793–1824","","Wishart, Hugh","","1793      ","1824      ","1800–1830","1800","1830","Silver","Overall: 6 1/8 x 8 x 4 3/16 in. (15.6 x 20.3 x 10.6 cm); 15 oz. 17 dwt. (493.3 g)
Body: 5 3/16 in. (13.2 cm); 12 oz. 3 dwt. (377.8 g)
Cover: 1 15/16 x 5 1/2 x 3 7/16 in. (4.9 x 14 x 8.7 cm); 3 oz. 14 dwt. (115.5 g)","Gift of George P. Cammann, 1917","Made in","New York","","","United States","","","","","","","Silver","","http://www.metmuseum.org/art/collection/search/2525","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Inscriptions|Bowls"
"42.149.19, .29","False","True","2840","American Decorative Arts","Cup and saucer","Cup and Saucer","Chinese","","","","","","","","","","","","","","1800–1815","1800","1815","Porcelain","Cup: H. 1 5/8 in. (4.1 cm); Diam. 3 1/2 in. (8.9 cm)
Saucer: H. 1 1/2 in. (3.8 cm); Diam. 5 5/8 in. (14.3 cm)","Gift of Mrs. J. Insley Blair, 1942","Made in","","","","China","","","","","","","Ceramics","","http://www.metmuseum.org/art/collection/search/2840","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Emblems|Dishes"
"61.135.2","False","False","3027","American Decorative Arts","Curtain tieback","Curtain Tieback","","","","","","","","","","","","","","","1880–95","1880","1895","Brass, opaque white glass","8 x 7 1/2 in. (20.3 x 19.1 cm)","Rogers Fund, 1961","Made in","","","","England","","","","","","","Metal","","http://www.metmuseum.org/art/collection/search/3027","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"69.194.118, .129","False","True","3116","American Decorative Arts","Demitasse cup and saucer","Demitasse Cup and Saucer","American","","","","","Maker","","Union Porcelain Works","1863–ca. 1922","","Union Porcelain Works ","","1863      ","1922      ","1885–87","1885","1887","Porcelain","Cup: H. 1 15/16 in. (4.9 cm); Diam. 2 13/16 in. (7.1 cm)
Saucer: Diam. 4 7/8 in. (12.4 cm)","Gift of Mr. and Mrs. Franklin Chace, 1969","Made in","Brooklyn","","","United States","","","","","","","Ceramics","","http://www.metmuseum.org/art/collection/search/3116","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Flowers|Cups|Saucers"
"39.184.1a, b","False","True","3146","American Decorative Arts","Desk and bookcase","Desk and bookcase","British","","","","","","","","","","","","","","1700–1720","1700","1720","Oak, pine","81 1/8 x 43 7/8 x 23 1/2 in. (206.1 x 111.4 x 59.7 cm)","Gift of James De Lancey Verplanck and John Bayard Rodgers Verplanck, 1939","Made in","","","","England","","","","","","","Furniture","","http://www.metmuseum.org/art/collection/search/3146","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Animals|Birds|Desks|Cabinets"
"36.22.11","False","True","3322","American Decorative Arts","Dish","Dish","British","","","","","","","","","","","","","","1750–75","1750","1775","Earthenware","1 7/8 x 10 3/8 x 7 7/8 in. (4.8 x 26.4 x 20 cm)","Gift of Col. G. Creighton Webb, 1936","Made in","Leeds","West Yorkshire","West Yorkshire","England","","","","","","","Ceramics","","http://www.metmuseum.org/art/collection/search/3322","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Inscriptions|Dishes"
"60.111.53","False","True","3333","American Decorative Arts","Dish","Dish","Chinese, for American market","","","","","","","","","","","","","","ca. 1860–66","1860","1866","Porcelain","9 1/4 x 10 13/16 in. (23.5 x 27.5 cm)","Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960","Made in","","","","China","","","","","","","Ceramics","","http://www.metmuseum.org/art/collection/search/3333","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Birds|Flowers|Dishes"
"1985.191.3c, d","False","False","3858","American Decorative Arts","Solid Casting Pattern","Full-size patterns for facsimiles of front and back halves of rim and neck of Bryant Vase","American","","","","","Maker","","Tiffany & Co.","1837–present","","Tiffany & Co.","","1837      ","9999      ","ca. 1875","1872","1878","Copper, metal alloy, lead","10 3/8 x 7 1/2 x 3 1/2 in. (26.4 x 19.1 x 8.9 cm)","Gift of Tiffany & Company, 1985","Made in","New York","","","United States","","","","","","","Metal","","http://www.metmuseum.org/art/collection/search/3858","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Flowers|Leaves|Vases"
"83.2.125","False","True","3949","American Decorative Arts","Medallion","George Washington","French","","","","","","","","","","","","","","ca. 1840","1837","1840","Probably porcelain","Diam. 1 3/4 in. (4.4 cm)","Gift of William H. Huntington, 1883","Made in","","","","France","","","","","","","Ceramics","","http://www.metmuseum.org/art/collection/search/3949","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","George Washington|Profiles"
"13.223.7","False","True","4007","American Decorative Arts","Fragment","Fragment","American","","","","","Maker","","Stiegel's Manheim Factory","1763–1774","","Stiegel's Manheim Factory ","","1763      ","1774      ","1763–74","1763","1774","Free-blown glass","W. 3 1/2 in. (8.9 cm)","Gift of Frederick W. Hunter, 1913","Made in","Manheim","","","United States","","","","","","","Glass","","http://www.metmuseum.org/art/collection/search/4007","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"69.262.15","False","False","4024","American Decorative Arts","Globe","Globe","","","","","","","","","","","","","","","19th century","1800","1900","Blown glass","Dimensions unavailable","Gift of Mrs. Douglas Williams, 1969","","","","","","","","","","","","Glass","","http://www.metmuseum.org/art/collection/search/4024","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"Inst.63.2.62","False","True","4073","American Decorative Arts","Glass Globe","Glass Globe","","","","","","","","","","","","","","","ca. 1895","1892","1895","Glass","H. 5 5/8 in. (14.3 cm); Diam. 3 3/4 in. (9.5 cm)","Gift of New York Clearing House, 1963","","","","","","","","","","","","Metal","","http://www.metmuseum.org/art/collection/search/4073","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Utilitarian Objects"
"49.117.20","False","True","4302","American Decorative Arts","Hinge","Hinge","","","","","","","","","","","","","","","1700–1800","1700","1800","Wrought iron","6 3/4 x 5 1/2 in. (17.1 x 14 cm)","Gift of Mrs. J. Insley Blair, 1949","","","","","","","","","","","","Metal","","http://www.metmuseum.org/art/collection/search/4302","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"46.27","False","True","4400","American Decorative Arts","Hot water plate","Hot Water Plate","American","","","","","Maker","","Henry Will","1734–ca. 1802","","Will, Henry","","1734      ","1802      ","1761–93","1761","1793","Pewter","H. 1 3/4 in. (4.4 cm); Diam. 9 7/16 in. (24 cm)","Rogers Fund, 1946","Possibly made in|Possibly made in","New York|Albany","","","United States|United States","","","","","","","Metal","","http://www.metmuseum.org/art/collection/search/4400","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Dishes"
"1987.31.7b","False","True","4767","American Decorative Arts","Waste Bowl","Rim for Waste Bowl","American","","","","","Maker","","Andrew Ellicott Warner","1786–1870","","Warner, Andrew Ellicott","","1786      ","1870      ","1845","1845","1845","Silver","Overall: 1 11/16 x 6 1/4 in. (4.3 x 15.9 cm); 8 oz. 13 dwt. (268.6 g)
Bezel: Diam. 5 3/16 in. (13.2 cm)","Friends of the American Wing Fund, 1987","Made in","Baltimore","","","United States","","","","","","","Silver","","http://www.metmuseum.org/art/collection/search/4767","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Bowls"
"16.153.1","False","True","4921","American Decorative Arts","Lunette","Stained Glass Lunette from the Cornelius Vanderbilt II House, New York","American","","","","","Maker","","John La Farge","American, New York 1835–1910 Providence, Rhode Island","","La Farge, John","American","1835      ","1910      ","ca. 1880–82","1877","1882","Leaded opalescent glass","30 1/4 x 63 in., 64lb. (76.8 x 160 cm)
Framed: 34 3/4 x 68 7/8 x 2 in. (88.3 x 174.9 x 5.1 cm)","Gift of Mrs. Otto Heinigke, 1916","Made in","New York","","","United States","","","","","","","Glass","","http://www.metmuseum.org/art/collection/search/4921","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Architecture|Mythical Creatures"
"10.125.391","False","False","4922","American Decorative Arts","Lyre clock","Lyre Clock","American","","","","","Maker|Maker","","John Sawin|George W. Dyer","1801–1863","","Sawin, John|Dyer, George W.","","1801      ","1863      |9999      ","1822–28","1822","1828","Mahogany, gilt gesso, eglomise tablet, tulip poplar, white pine","33 x 12 1/2 in. (83.8 x 31.8 cm)","Gift of Mrs. Russell Sage, 1909","Made in","Boston","","","United States","","","","","","","Furniture","","http://www.metmuseum.org/art/collection/search/4922","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Musical Instruments|Eagles|Clocks"
"83.2.392","False","True","5066","American Decorative Arts","Medal","Medal of Captain Stephen Decatur","American","","","","","Maker","","Moritz Fürst","born 1782, active United States, 1807–ca. 1840","","Fürst, Moritz","Hungarian","1782      ","1882      ","1800–1830","1800","1830","Bronze","Diam. 2 9/16 in. (6.5 cm)","Gift of William H. Huntington, 1883","Made in","","","","United States","","","","","","","Metal","","http://www.metmuseum.org/art/collection/search/5066","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Men|Profiles"
"30.120.49","False","True","5203","American Decorative Arts","Clock","Miniature Tall Clock","American","","","","","Maker","","Caleb Leach","active ca. 1776–90","","Leach, Caleb","","1773      ","1790      ","1785–90","1785","1790","Mahogany, oak, maple, white pine","47 x 11 3/8 x 5 5/8 in. (119.4 x 28.9 x 14.3 cm)","The Sylmaris Collection, Gift of George Coe Graves, 1930","Made in","Plymouth","","","United States","","","","","","","Furniture","","http://www.metmuseum.org/art/collection/search/5203","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Clocks"
"47.90.190","False","True","5748","American Decorative Arts","Pitcher","Pitcher","American","","","","","","","","","","","","","","1830–70","1830","1870","Parian porcelain","9 1/4 x 8 1/2 x 6 1/8 in. (23.5 x 21.6 x 15.6 cm)","Gift of Dr. Charles W. Green, 1947","Probably made in","Bennington","","","United States","","","","","","","Ceramics","","http://www.metmuseum.org/art/collection/search/5748","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Faces|Flowers|Leaves|Pitchers"
"46.140.785","False","True","5886","American Decorative Arts","Pitcher","Pitcher","American","","","","","","","","","","","","","","1850–70","1850","1870","Pressed glass","H. 6 11/16 in. (17 cm)","Gift of Mrs. Emily Winthrop Miles, 1946","Made in","","","","United States","","","","","","","Glass","","http://www.metmuseum.org/art/collection/search/5886","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Pitchers"
"33.85.5","False","True","5991","American Decorative Arts","Plate","Plate","Dutch","","","","","","","","","","","","","","1700–1800","1700","1800","Earthenware","H. 2 in. (5.1 cm); Diam. 12 1/8 in. (30.8 cm)","Rogers Fund, 1933","Made in","Delft","","","Netherlands","","","","","","","Ceramics","","http://www.metmuseum.org/art/collection/search/5991","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Flowers|Dishes"
"41.127.3","False","True","6245","American Decorative Arts","Cake plate","Cake Plate","French, possibly","","","","","","","","","","","","","","ca. 1780","1777","1783","Porcelain","Diam. 8 3/4 in. (22.2 cm)","Gift of Miss Edith Johnson, 1941","Possibly made in","Paris","","","France","","","","","","","Ceramics","","http://www.metmuseum.org/art/collection/search/6245","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Dishes"
"63.88.2","False","False","6253","American Decorative Arts","Plate","Plate","American","","","","","Maker","","Tucker and Hemphill","1831–37","","Tucker and Hemphill ","","1831      ","1837      ","ca. 1838","1835","1838","Porcelain","Diam. 6 3/16 in. (15.7 cm)","Rogers Fund, 1963","Made in","Philadelphia","","","United States","","","","","","","Ceramics","","http://www.metmuseum.org/art/collection/search/6253","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"46.140.381","False","True","6437","American Decorative Arts","Plate","Plate","American","","","","","Maker","Possibly","Boston & Sandwich Glass Company","American, 1825–1888, Sandwich, Massachusetts","","Boston and Sandwich Glass Company ","","1825      ","1888      ","1880–88","1880","1888","Blown amber glass with applied threaded decoration","Diam. 6 5/16 in. (16 cm)","Gift of Mrs. Emily Winthrop Miles, 1946","Made in","Sandwich","","","United States","","","","","","","Glass","","http://www.metmuseum.org/art/collection/search/6437","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Flowers|Dishes"
"40.184.8","False","True","6670","American Decorative Arts","Porringer","Porringer","American","","","","","Maker","","William Calder","1792–1856","","Calder, William","","1792      ","1856      ","1817–56","1817","1856","Pewter","2 1/4 x 7 5/8 x 5 1/4 in. (5.7 x 19.4 x 13.3 cm)","Gift of Mrs. J. Insley Blair, in memory of her husband, 1940","Made in","Providence","","","United States","","","","","","","Metal","","http://www.metmuseum.org/art/collection/search/6670","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Bowls"
"62.89.2","False","True","6692","American Decorative Arts","Porringer","Porringer","American","","","","","Maker","","Samuel Hamlin","1746–1801","","Hamlin, Samuel","","1746      ","1801      ","1773–1801","1773","1801","Pewter","2 x 7 7/8 x 5 1/4 in. (5.1 x 20 x 13.3 cm)","Gift of Mrs. Stephen S. FitzGerald, 1962","Made in","Providence","","","United States","","","","","","","Metal","","http://www.metmuseum.org/art/collection/search/6692","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Bowls"
"17.233a–i","False","False","6844","American Decorative Arts","Railing","Railing","American","","","","","","","","","","","","","","1800–1830","1800","1830","Wrought iron","Overall (in nine parts): 7/8 in. x 52 ft. (2.3 cm x 624 in.)","Rogers Fund, 1916","Made in","New Orleans","","","United States","","","","","","","Architecture","","http://www.metmuseum.org/art/collection/search/6844","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"60.111.109","False","False","7636","American Decorative Arts","Soup dish","Soup Dish","Chinese, for American market","","","","","","","","","","","","","","ca. 1860–66","1860","1866","Porcelain","Diam. 10 in. (25.4 cm)","Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960","Made in","","","","China","","","","","","","Ceramics","","http://www.metmuseum.org/art/collection/search/7636","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY",""
"62.233.18a, b","False","False","7879","American Decorative Arts","Stamp box","Stamp Box","American","","","","","Designer|Maker","Designed by","Louis Comfort Tiffany|Tiffany Studios","American, New York 1848–1933 New York|1902–32","","Tiffany, Louis Comfort|Tiffany Studios ","American","1848      |1902      ","1933      |1932      ","ca. 1910–20","1907","1920","Favrile glass, bronze","4 x 2 3/16 in. (10.2 x 5.6 cm)","Gift of Mrs. H. S. Mesick, 1962","Made in","New York","","","United States","","","","","","","Metal","","http://www.metmuseum.org/art/collection/search/7879","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Calendars|Writing Implements|Trays"
"33.120.133a, b","False","False","7976","American Decorative Arts","Sugar Bowl","Sugar Bowl","American","","","","","Maker","Marked by","W. H. T.","","","W. H. T.","","","9999      ","ca. 1825","1822","1825","Silver","Overall: 5 5/16 x 7 3/8 x 4 1/2 in. (13.5 x 18.7 x 11.4 cm); 23 oz. 16 dwt. (740.5 g)
Cover: 1 7/8 x 5 7/8 x 4 in. (4.8 x 14.9 x 10.2 cm); 5 oz. 14 dwt. (176.9 g)
Body: 18 oz. 2 dwt. (563.6 g)","Bequest of Alphonso T. Clearwater, 1933","","","","","","","","","","","","Silver","","http://www.metmuseum.org/art/collection/search/7976","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Bowls"
"44.117.4a, b","False","True","7986","American Decorative Arts","Sugar Bowl","Sugar Bowl","American","","","","","Retailer|Maker","","Ball, Tompkins and Black|Charters, Cann & Dunn","active 1839–51|active 1848–1854","","Ball, Tompkins and Black |Charters, Cann & Dunn","American","1839      |1848      ","1851      |1854      ","1848–51","1848","1851","Silver","Overall: 7 1/4 x 8 7/16 x 5 5/8 in. (18.4 x 21.4 x 14.3 cm); 19 oz. 10 dwt. (605.7 g)
Body: H. 6 3/16 in. (15.7 cm); 16 oz. 15 dwt. (521.3 g)
Cover: H. 2 1/4 in. (5.7 cm); Diam. 3 3/16 in. (8.1 cm); 2 oz. 14 dwt. (84.4 g)","Gift of Mr. and Mrs. Henry Mali, 1944","Made in","New York","","","United States","","","","","","","Silver","","http://www.metmuseum.org/art/collection/search/7986","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Birds|Bowls"
"97.1.4","False","True","8022","American Decorative Arts","Tongs","Sugar Tongs","American","","","","","Maker","","Tiffany & Co.","1837–present","","Tiffany & Co.","","1837      ","9999      ","ca. 1888","1885","1891","Silver","5/8 x 5 in. (1.6 x 12.7 cm); 1 oz. 10 dwt. (47 g)","Gift of a Friend of the Museum, 1897","Made in","New York","","","United States","","","","","","","Silver","","http://www.metmuseum.org/art/collection/search/8022","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Tools and Equipment"
